Kode,Nama Perusahaan,Papan Pencatatan,Kategori
SOFA,Solusi Environment Asia Tbk.,Akselerasi,Lainnya
PPGL,Prima Globalindo Logistik Tbk.,Akselerasi,Transportasi & Logistik
TOYS,Sunindo Adipersada Tbk.,Pemantauan Khusus,Lainnya
SGER,Sumber Global Energy Tbk.,Utama,Energi & Pertambangan
TRJA,Transkon Jaya Tbk.,Pengembangan,Lainnya
PNGO,AEP Pinago Plantations Tbk.,Pemantauan Khusus,Perkebunan & Agrikultur
SCNP,Selaras Citra Nusantara Perkas,Pengembangan,Lainnya
BBSI,Krom Bank Indonesia Tbk.,Utama,Perbankan
KMDS,Kurniamitra Duta Sentosa Tbk.,Pengembangan,Lainnya
PURI,Puri Global Sukses Tbk.,Pengembangan,Lainnya
SOHO,Soho Global Health Tbk.,Pengembangan,Lainnya
HOMI,Grand House Mulia Tbk.,Pengembangan,Lainnya
ROCK,Rockfields Properti Indonesia,Pengembangan,Properti & Real Estate
ENZO,Morenzo Abadi Perkasa Tbk.,Pengembangan,Lainnya
PLAN,Planet Properindo Jaya Tbk.,Akselerasi,Lainnya
PTDU,Djasa Ubersakti Tbk.,Pemantauan Khusus,Lainnya
ATAP,Trimitra Prawara Goldland Tbk.,Pengembangan,Properti & Real Estate
VICI,Victoria Care Indonesia Tbk.,Utama,Lainnya
PMMP,Panca Mitra Multiperdana Tbk.,Pemantauan Khusus,Lainnya
BANK,Bank Aladin Syariah Tbk.,Pengembangan,Perbankan
WMUU,Widodo Makmur Unggas Tbk.,Pengembangan,Energi & Pertambangan
EDGE,Indointernet Tbk.,Pengembangan,Lainnya
UNIQ,Ulima Nitra Tbk.,Pengembangan,Lainnya
BEBS,Berkah Beton Sadaya Tbk.,Pemantauan Khusus,Konstruksi & Bahan Bangunan
SNLK,Sunter Lakeside Hotel Tbk.,Pengembangan,Lainnya
ZYRX,Zyrexindo Mandiri Buana Tbk.,Pengembangan,Lainnya
LFLO,Imago Mulia Persada Tbk.,Akselerasi,Lainnya
FIMP,Fimperkasa Utama Tbk.,Pemantauan Khusus,Lainnya
TAPG,Triputra Agro Persada Tbk.,Utama,Perkebunan & Agrikultur
NPGF,Nusa Palapa Gemilang Tbk.,Pengembangan,Lainnya
